H,H,H,H,H,H,H,H,H,H,H
2.686,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.686,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.686,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.686,-14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.686,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.649,8.278,8.278,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84,0.0,8.278,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.923,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.178,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.337
