ppm,val
-2.207462,-0.000171
-2.207248,-0.000175
-2.207034,-0.000179
-2.206820,-0.000182
-2.206607,-0.000185
-2.206393,-0.000187
-2.206179,-0.000189
-2.205965,-0.000192
-2.205751,-0.000195
-2.205538,-0.000195
-2.205324,-0.000193
-2.205110,-0.000189
-2.204896,-0.000186
-2.204683,-0.000185
-2.204469,-0.000185
-2.204255,-0.000186
-2.204041,-0.000186
-2.203827,-0.000185
-2.203614,-0.000184
-2.203400,-0.000182
-2.203186,-0.000181
-2.202972,-0.000179
-2.202759,-0.000176
-2.202545,-0.000173
-2.202331,-0.000170
-2.202117,-0.000168
-2.201903,-0.000167
-2.201690,-0.000167
-2.201476,-0.000167
-2.201262,-0.000167
-2.201048,-0.000168
-2.200835,-0.000169
-2.200621,-0.000171
-2.200407,-0.000173
-2.200193,-0.000175
-2.199979,-0.000177
-2.199766,-0.000177
-2.199552,-0.000174
-2.199338,-0.000172
-2.199124,-0.000169
-2.198911,-0.000168
-2.198697,-0.000167
-2.198483,-0.000165
-2.198269,-0.000163
-2.198056,-0.000160
-2.197842,-0.000158
-2.197628,-0.000156
-2.197414,-0.000155
-2.197200,-0.000153
-2.196987,-0.000150
-2.196773,-0.000146
-2.196559,-0.000143
-2.196345,-0.000140
-2.196132,-0.000137
-2.195918,-0.000136
-2.195704,-0.000134
-2.195490,-0.000132
-2.195276,-0.000130
-2.195063,-0.000127
-2.194849,-0.000124
-2.194635,-0.000122
-2.194421,-0.000120
-2.194208,-0.000119
-2.193994,-0.000118
-2.193780,-0.000118
-2.193566,-0.000117
-2.193352,-0.000116
-2.193139,-0.000113
-2.192925,-0.000110
-2.192711,-0.000109
-2.192497,-0.000109
-2.192284,-0.000112
-2.192070,-0.000116
-2.191856,-0.000121
-2.191642,-0.000126
-2.191428,-0.000129
-2.191215,-0.000130
-2.191001,-0.000129
-2.190787,-0.000126
-2.190573,-0.000122
-2.190360,-0.000118
-2.190146,-0.000113
-2.189932,-0.000107
-2.189718,-0.000101
-2.189504,-0.000093
-2.189291,-0.000085
-2.189077,-0.000075
-2.188863,-0.000064
-2.188649,-0.000052
-2.188436,-0.000042
-2.188222,-0.000033
-2.188008,-0.000026
-2.187794,-0.000020
-2.187580,-0.000016
-2.187367,-0.000015
-2.187153,-0.000018
-2.186939,-0.000025
-2.186725,-0.000035
-2.186512,-0.000046
-2.186298,-0.000054
-2.186084,-0.000059
-2.185870,-0.000060
-2.185656,-0.000058
-2.185443,-0.000057
-2.185229,-0.000058
-2.185015,-0.000062
-2.184801,-0.000070
-2.184588,-0.000080
-2.184374,-0.000091
-2.184160,-0.000100
-2.183946,-0.000107
-2.183732,-0.000111
-2.183519,-0.000111
-2.183305,-0.000108
-2.183091,-0.000103
-2.182877,-0.000098
-2.182664,-0.000095
-2.182450,-0.000093
-2.182236,-0.000092
-2.182022,-0.000093
-2.181808,-0.000096
-2.181595,-0.000099
-2.181381,-0.000102
-2.181167,-0.000106
-2.180953,-0.000111
-2.180740,-0.000116
-2.180526,-0.000121
-2.180312,-0.000125
-2.180098,-0.000130
-2.179884,-0.000134
-2.179671,-0.000139
-2.179457,-0.000145
-2.179243,-0.000151
-2.179029,-0.000156
-2.178816,-0.000161
-2.178602,-0.000163
-2.178388,-0.000162
-2.178174,-0.000158
-2.177960,-0.000151
-2.177747,-0.000142
-2.177533,-0.000132
-2.177319,-0.000122
-2.177105,-0.000114
-2.176892,-0.000106
-2.176678,-0.000099
-2.176464,-0.000091
-2.176250,-0.000081
-2.176036,-0.000071
-2.175823,-0.000061
-2.175609,-0.000054
-2.175395,-0.000050
-2.175181,-0.000047
-2.174968,-0.000045
-2.174754,-0.000044
-2.174540,-0.000044
-2.174326,-0.000043
-2.174112,-0.000044
-2.173899,-0.000045
-2.173685,-0.000047
-2.173471,-0.000050
-2.173257,-0.000053
-2.173044,-0.000056
-2.172830,-0.000057
-2.172616,-0.000058
-2.172402,-0.000057
-2.172188,-0.000057
-2.171975,-0.000057
-2.171761,-0.000059
-2.171547,-0.000062
-2.171333,-0.000066
-2.171120,-0.000069
-2.170906,-0.000070
-2.170692,-0.000069
-2.170478,-0.000066
-2.170265,-0.000065
-2.170051,-0.000065
-2.169837,-0.000069
-2.169623,-0.000074
-2.169409,-0.000081
-2.169196,-0.000088
-2.168982,-0.000094
-2.168768,-0.000099
-2.168554,-0.000104
-2.168341,-0.000109
