ppm,val
-1.199409,-0.002088
-1.199042,-0.002089
-1.198676,-0.002100
-1.198309,-0.002123
-1.197942,-0.002151
-1.197576,-0.002178
-1.197209,-0.002199
-1.196842,-0.002219
-1.196476,-0.002243
-1.196109,-0.002262
-1.195742,-0.002261
-1.195376,-0.002231
-1.195009,-0.002178
-1.194642,-0.002114
-1.194276,-0.002050
-1.193909,-0.001994
-1.193542,-0.001954
-1.193176,-0.001930
-1.192809,-0.001915
-1.192442,-0.001906
-1.192076,-0.001905
-1.191709,-0.001915
-1.191342,-0.001933
-1.190976,-0.001958
-1.190609,-0.001988
-1.190242,-0.002016
-1.189875,-0.002025
-1.189509,-0.002013
-1.189142,-0.001992
-1.188775,-0.001970
-1.188409,-0.001941
-1.188042,-0.001905
-1.187675,-0.001877
-1.187309,-0.001863
-1.186942,-0.001866
-1.186575,-0.001885
-1.186209,-0.001909
-1.185842,-0.001930
-1.185475,-0.001947
-1.185109,-0.001970
-1.184742,-0.002001
-1.184375,-0.002027
-1.184009,-0.002036
-1.183642,-0.002027
-1.183275,-0.002010
-1.182909,-0.002002
-1.182542,-0.002010
-1.182175,-0.002030
-1.181809,-0.002062
-1.181442,-0.002099
-1.181075,-0.002122
-1.180708,-0.002118
-1.180342,-0.002092
-1.179975,-0.002059
-1.179608,-0.002033
-1.179242,-0.002017
-1.178875,-0.002001
-1.178508,-0.001975
-1.178142,-0.001938
-1.177775,-0.001894
-1.177408,-0.001840
-1.177042,-0.001778
-1.176675,-0.001726
-1.176308,-0.001697
-1.175942,-0.001698
-1.175575,-0.001725
-1.175208,-0.001759
-1.174842,-0.001780
-1.174475,-0.001783
-1.174108,-0.001773
-1.173742,-0.001755
-1.173375,-0.001736
-1.173008,-0.001725
-1.172642,-0.001732
-1.172275,-0.001762
-1.171908,-0.001805
-1.171542,-0.001836
-1.171175,-0.001839
-1.170808,-0.001821
-1.170441,-0.001798
-1.170075,-0.001777
-1.169708,-0.001759
-1.169341,-0.001749
-1.168975,-0.001746
-1.168608,-0.001749
-1.168241,-0.001763
-1.167875,-0.001796
-1.167508,-0.001841
-1.167141,-0.001883
-1.166775,-0.001911
-1.166408,-0.001929
-1.166041,-0.001943
-1.165675,-0.001947
-1.165308,-0.001932
-1.164941,-0.001907
-1.164575,-0.001891
-1.164208,-0.001888
-1.163841,-0.001891
-1.163475,-0.001892
-1.163108,-0.001889
-1.162741,-0.001877
-1.162375,-0.001856
-1.162008,-0.001838
-1.161641,-0.001831
-1.161275,-0.001833
-1.160908,-0.001825
-1.160541,-0.001795
-1.160174,-0.001748
-1.159808,-0.001703
-1.159441,-0.001668
-1.159074,-0.001642
-1.158708,-0.001616
-1.158341,-0.001585
-1.157974,-0.001554
-1.157608,-0.001529
-1.157241,-0.001508
-1.156874,-0.001489
-1.156508,-0.001473
-1.156141,-0.001471
-1.155774,-0.001490
-1.155408,-0.001524
-1.155041,-0.001558
-1.154674,-0.001586
-1.154308,-0.001612
-1.153941,-0.001638
-1.153574,-0.001662
-1.153208,-0.001679
-1.152841,-0.001693
-1.152474,-0.001705
-1.152108,-0.001709
-1.151741,-0.001695
-1.151374,-0.001661
-1.151008,-0.001614
-1.150641,-0.001562
-1.150274,-0.001515
-1.149907,-0.001474
-1.149541,-0.001442
-1.149174,-0.001428
-1.148807,-0.001433
-1.148441,-0.001457
-1.148074,-0.001497
-1.147707,-0.001535
-1.147341,-0.001548
-1.146974,-0.001523
-1.146607,-0.001466
-1.146241,-0.001395
-1.145874,-0.001331
-1.145507,-0.001291
-1.145141,-0.001279
-1.144774,-0.001291
-1.144407,-0.001324
-1.144041,-0.001373
-1.143674,-0.001430
-1.143307,-0.001490
-1.142941,-0.001550
-1.142574,-0.001602
-1.142207,-0.001636
-1.141841,-0.001646
-1.141474,-0.001636
-1.141107,-0.001610
-1.140741,-0.001578
-1.140374,-0.001556
-1.140007,-0.001541
-1.139640,-0.001526
-1.139274,-0.001509
-1.138907,-0.001495
-1.138540,-0.001494
-1.138174,-0.001503
-1.137807,-0.001517
-1.137440,-0.001524
-1.137074,-0.001511
-1.136707,-0.001473
-1.136340,-0.001417
-1.135974,-0.001363
-1.135607,-0.001331
-1.135240,-0.001323
-1.134874,-0.001326
-1.134507,-0.001319
-1.134140,-0.001299
-1.133774,-0.001271
-1.133407,-0.001237
-1.133040,-0.001197
-1.132674,-0.001158
-1.132307,-0.001125
-1.131940,-0.001098
-1.131574,-0.001070
-1.131207,-0.001043
-1.130840,-0.001035
-1.130474,-0.001062
-1.130107,-0.001110
-1.129740,-0.001150
-1.129373,-0.001168
-1.129007,-0.001164
-1.128640,-0.001151
-1.128273,-0.001138
-1.127907,-0.001132
-1.127540,-0.001128
-1.127173,-0.001123
-1.126807,-0.001119
-1.126440,-0.001124
-1.126073,-0.001145
-1.125707,-0.001179
-1.125340,-0.001215
-1.124973,-0.001244
-1.124607,-0.001258
-1.124240,-0.001263
-1.123873,-0.001260
-1.123507,-0.001250
-1.123140,-0.001234
-1.122773,-0.001208
-1.122407,-0.001159
-1.122040,-0.001084
-1.121673,-0.001002
-1.121307,-0.000936
-1.120940,-0.000910
-1.120573,-0.000932
-1.120207,-0.000996
-1.119840,-0.001081
-1.119473,-0.001158
-1.119106,-0.001208
-1.118740,-0.001226
-1.118373,-0.001216
-1.118006,-0.001181
-1.117640,-0.001135
-1.117273,-0.001097
-1.116906,-0.001080
-1.116540,-0.001090
-1.116173,-0.001115
-1.115806,-0.001133
-1.115440,-0.001138
