ppm,val
-1.663494,0.001320
-1.663097,0.001507
-1.662701,0.001861
-1.662304,0.002215
-1.661908,0.002317
-1.661511,0.002134
-1.661115,0.001914
-1.660718,0.001888
-1.660322,0.002014
-1.659926,0.002049
-1.659529,0.001852
-1.659133,0.001562
-1.658736,0.001452
-1.658340,0.001564
-1.657943,0.001616
-1.657547,0.001429
-1.657150,0.001272
-1.656754,0.001468
-1.656357,0.001789
-1.655961,0.001732
-1.655565,0.001364
-1.655168,0.001317
-1.654772,0.001765
-1.654375,0.002079
-1.653979,0.001825
-1.653582,0.001486
-1.653186,0.001667
-1.652789,0.002085
-1.652393,0.002022
-1.651996,0.001463
-1.651600,0.001083
-1.651203,0.001255
-1.650807,0.001682
-1.650411,0.001962
-1.650014,0.001982
-1.649618,0.001770
-1.649221,0.001428
-1.648825,0.001207
-1.648428,0.001288
-1.648032,0.001491
-1.647635,0.001526
-1.647239,0.001402
-1.646842,0.001311
-1.646446,0.001279
-1.646050,0.001265
-1.645653,0.001378
-1.645257,0.001600
-1.644860,0.001612
-1.644464,0.001328
-1.644067,0.001231
-1.643671,0.001632
-1.643274,0.001975
-1.642878,0.001617
-1.642481,0.000949
-1.642085,0.000825
-1.641688,0.001161
-1.641292,0.001135
-1.640896,0.000696
-1.640499,0.000695
-1.640103,0.001346
-1.639706,0.001766
-1.639310,0.001463
-1.638913,0.001165
-1.638517,0.001522
-1.638120,0.001973
-1.637724,0.001728
-1.637327,0.001118
-1.636931,0.001015
-1.636534,0.001441
-1.636138,0.001695
-1.635742,0.001540
-1.635345,0.001361
-1.634949,0.001329
-1.634552,0.001226
-1.634156,0.001094
-1.633759,0.001275
-1.633363,0.001727
-1.632966,0.001935
-1.632570,0.001669
-1.632173,0.001330
-1.631777,0.001303
-1.631381,0.001404
-1.630984,0.001250
-1.630588,0.000898
-1.630191,0.000772
-1.629795,0.001046
-1.629398,0.001386
-1.629002,0.001384
-1.628605,0.001094
-1.628209,0.000936
-1.627812,0.001101
-1.627416,0.001318
-1.627019,0.001321
-1.626623,0.001245
-1.626227,0.001286
-1.625830,0.001273
-1.625434,0.001017
-1.625037,0.000828
-1.624641,0.001103
-1.624244,0.001557
-1.623848,0.001562
-1.623451,0.001211
-1.623055,0.001224
-1.622658,0.001671
-1.622262,0.001717
-1.621866,0.001002
-1.621469,0.000390
-1.621073,0.000725
-1.620676,0.001560
-1.620280,0.001887
-1.619883,0.001597
-1.619487,0.001357
-1.619090,0.001397
-1.618694,0.001299
-1.618297,0.000904
-1.617901,0.000646
-1.617504,0.000860
-1.617108,0.001308
-1.616712,0.001526
-1.616315,0.001327
-1.615919,0.000920
-1.615522,0.000715
-1.615126,0.000954
-1.614729,0.001389
-1.614333,0.001539
-1.613936,0.001370
-1.613540,0.001338
-1.613143,0.001583
-1.612747,0.001635
-1.612350,0.001238
-1.611954,0.000873
-1.611558,0.000963
-1.611161,0.001120
-1.610765,0.000858
-1.610368,0.000504
-1.609972,0.000627
-1.609575,0.000988
-1.609179,0.000941
-1.608782,0.000589
-1.608386,0.000618
-1.607989,0.001104
-1.607593,0.001407
-1.607197,0.001229
-1.606800,0.000943
-1.606404,0.000819
-1.606007,0.000713
-1.605611,0.000594
-1.605214,0.000645
-1.604818,0.000772
-1.604421,0.000667
-1.604025,0.000451
-1.603628,0.000559
-1.603232,0.000935
-1.602835,0.001061
-1.602439,0.000840
-1.602043,0.000730
-1.601646,0.000894
-1.601250,0.000954
-1.600853,0.000745
-1.600457,0.000604
-1.600060,0.000696
-1.599664,0.000743
-1.599267,0.000623
-1.598871,0.000587
-1.598474,0.000727
-1.598078,0.000842
-1.597682,0.000963
-1.597285,0.001292
-1.596889,0.001543
-1.596492,0.001161
-1.596096,0.000386
-1.595699,0.000189
-1.595303,0.000858
-1.594906,0.001541
-1.594510,0.001580
-1.594113,0.001354
-1.593717,0.001312
-1.593320,0.001136
-1.592924,0.000545
-1.592528,0.000092
-1.592131,0.000316
-1.591735,0.000763
-1.591338,0.000706
-1.590942,0.000313
-1.590545,0.000260
-1.590149,0.000604
-1.589752,0.000856
-1.589356,0.000872
-1.588959,0.000885
-1.588563,0.000891
-1.588166,0.000707
-1.587770,0.000499
-1.587374,0.000595
-1.586977,0.000908
-1.586581,0.001037
-1.586184,0.000847
-1.585788,0.000522
-1.585391,0.000235
-1.584995,0.000099
-1.584598,0.000226
-1.584202,0.000512
-1.583805,0.000673
-1.583409,0.000734
-1.583013,0.001034
-1.582616,0.001491
-1.582220,0.001498
-1.581823,0.000924
-1.581427,0.000513
-1.581030,0.000741
-1.580634,0.001016
-1.580237,0.000723
-1.579841,0.000312
-1.579444,0.000474
-1.579048,0.000881
-1.578651,0.000793
-1.578255,0.000387
-1.577859,0.000393
-1.577462,0.000770
-1.577066,0.000861
-1.576669,0.000615
-1.576273,0.000554
-1.575876,0.000701
-1.575480,0.000623
-1.575083,0.000421
-1.574687,0.000591
-1.574290,0.000947
-1.573894,0.000790
-1.573497,0.000137
-1.573101,-0.000262
-1.572705,-0.000180
-1.572308,-0.000106
-1.571912,-0.000158
-1.571515,0.000081
-1.571119,0.000553
-1.570722,0.000677
-1.570326,0.000489
-1.569929,0.000629
-1.569533,0.001049
-1.569136,0.000979
-1.568740,0.000464
-1.568344,0.000525
-1.567947,0.001306
-1.567551,0.001554
-1.567154,0.000692
-1.566758,-0.000034
-1.566361,0.000440
-1.565965,0.001153
-1.565568,0.000662
-1.565172,-0.000574
-1.564775,-0.000928
-1.564379,-0.000123
-1.563982,0.000610
-1.563586,0.000620
-1.563190,0.000560
-1.562793,0.000912
-1.562397,0.001145
-1.562000,0.000764
-1.561604,0.000172
-1.561207,-0.000016
-1.560811,0.000193
-1.560414,0.000469
-1.560018,0.000748
-1.559621,0.001081
-1.559225,0.001263
-1.558829,0.001048
-1.558432,0.000581
-1.558036,0.000263
-1.557639,0.000244
-1.557243,0.000264
-1.556846,0.000080
-1.556450,-0.000092
-1.556053,0.000191
-1.555657,0.000889
-1.555260,0.001323
-1.554864,0.001004
-1.554467,0.000370
-1.554071,0.000202
-1.553675,0.000515
-1.553278,0.000677
-1.552882,0.000517
-1.552485,0.000498
-1.552089,0.000701
-1.551692,0.000583
-1.551296,0.000073
-1.550899,-0.000027
-1.550503,0.000699
-1.550106,0.001462
-1.549710,0.001426
-1.549313,0.000948
-1.548917,0.000844
-1.548521,0.001039
-1.548124,0.000889
-1.547728,0.000383
-1.547331,0.000064
-1.546935,0.000041
-1.546538,-0.000004
-1.546142,-0.000020
-1.545745,0.000273
-1.545349,0.000633
-1.544952,0.000559
-1.544556,0.000247
-1.544160,0.000370
-1.543763,0.000901
-1.543367,0.001048
-1.542970,0.000511
-1.542574,-0.000012
-1.542177,0.000137
-1.541781,0.000684
-1.541384,0.000903
-1.540988,0.000535
-1.540591,-0.000019
-1.540195,-0.000162
-1.539798,0.000331
-1.539402,0.000993
-1.539006,0.001053
-1.538609,0.000419
-1.538213,-0.000078
-1.537816,0.000180
-1.537420,0.000656
-1.537023,0.000544
-1.536627,0.000114
-1.536230,0.000242
-1.535834,0.000877
-1.535437,0.001110
-1.535041,0.000725
-1.534645,0.000495
-1.534248,0.000771
-1.533852,0.000916
-1.533455,0.000529
-1.533059,0.000163
-1.532662,0.000282
-1.532266,0.000467
-1.531869,0.000278
-1.531473,0.000096
-1.531076,0.000386
-1.530680,0.000790
-1.530283,0.000721
-1.529887,0.000352
-1.529491,0.000258
-1.529094,0.000450
-1.528698,0.000494
-1.528301,0.000336
-1.527905,0.000351
-1.527508,0.000669
-1.527112,0.000986
-1.526715,0.001003
-1.526319,0.000697
-1.525922,0.000243
-1.525526,-0.000105
-1.525129,-0.000169
-1.524733,-0.000042
-1.524337,0.000069
-1.523940,0.000229
-1.523544,0.000651
-1.523147,0.001111
-1.522751,0.001023
-1.522354,0.000324
-1.521958,-0.000256
-1.521561,-0.000132
-1.521165,0.000378
-1.520768,0.000612
-1.520372,0.000453
-1.519976,0.000287
-1.519579,0.000402
-1.519183,0.000783
-1.518786,0.001191
-1.518390,0.001217
-1.517993,0.000649
-1.517597,-0.000050
-1.517200,-0.000167
-1.516804,0.000218
-1.516407,0.000276
-1.516011,-0.000220
-1.515614,-0.000444
-1.515218,0.000116
-1.514822,0.000747
-1.514425,0.000687
-1.514029,0.000366
-1.513632,0.000539
-1.513236,0.000881
-1.512839,0.000584
-1.512443,-0.000121
-1.512046,-0.000240
-1.511650,0.000370
-1.511253,0.000777
-1.510857,0.000405
-1.510461,-0.000243
-1.510064,-0.000425
-1.509668,-0.000005
-1.509271,0.000620
-1.508875,0.000892
-1.508478,0.000481
-1.508082,-0.000230
-1.507685,-0.000318
-1.507289,0.000459
-1.506892,0.001098
-1.506496,0.000733
-1.506099,-0.000016
-1.505703,-0.000094
-1.505307,0.000188
-1.504910,-0.000194
-1.504514,-0.000928
-1.504117,-0.000677
-1.503721,0.000582
-1.503324,0.001299
-1.502928,0.000770
-1.502531,0.000099
-1.502135,0.000155
-1.501738,0.000245
-1.501342,-0.000250
-1.500945,-0.000514
-1.500549,0.000215
-1.500153,0.001082
-1.499756,0.000961
-1.499360,0.000353
-1.498963,0.000435
-1.498567,0.000981
-1.498170,0.000837
-1.497774,-0.000009
-1.497377,-0.000406
-1.496981,0.000031
-1.496584,0.000466
-1.496188,0.000374
-1.495792,0.000251
-1.495395,0.000519
-1.494999,0.000827
-1.494602,0.000776
-1.494206,0.000493
-1.493809,0.000208
-1.493413,-0.000058
-1.493016,-0.000178
-1.492620,0.000047
-1.492223,0.000433
-1.491827,0.000600
-1.491430,0.000620
-1.491034,0.000813
-1.490638,0.000944
-1.490241,0.000481
-1.489845,-0.000340
-1.489448,-0.000634
-1.489052,-0.000219
-1.488655,0.000124
-1.488259,-0.000019
-1.487862,-0.000102
-1.487466,0.000225
-1.487069,0.000397
-1.486673,0.000007
-1.486277,-0.000331
-1.485880,-0.000001
-1.485484,0.000471
-1.485087,0.000226
-1.484691,-0.000524
-1.484294,-0.000841
-1.483898,-0.000493
-1.483501,-0.000096
-1.483105,-0.000005
-1.482708,0.000042
-1.482312,0.000185
-1.481915,0.000167
-1.481519,-0.000067
-1.481123,-0.000151
-1.480726,0.000117
-1.480330,0.000461
-1.479933,0.000566
-1.479537,0.000449
-1.479140,0.000277
-1.478744,0.000141
-1.478347,0.000087
-1.477951,0.000084
-1.477554,-0.000008
-1.477158,-0.000204
-1.476761,-0.000208
-1.476365,0.000188
-1.475969,0.000659
-1.475572,0.000734
-1.475176,0.000522
-1.474779,0.000515
-1.474383,0.000717
-1.473986,0.000602
-1.473590,0.000051
-1.473193,-0.000314
-1.472797,-0.000017
-1.472400,0.000553
-1.472004,0.000689
-1.471608,0.000287
-1.471211,-0.000161
-1.470815,-0.000269
-1.470418,-0.000091
-1.470022,0.000127
-1.469625,0.000251
-1.469229,0.000305
-1.468832,0.000327
-1.468436,0.000205
-1.468039,-0.000177
-1.467643,-0.000565
-1.467246,-0.000402
-1.466850,0.000377
-1.466454,0.000945
-1.466057,0.000558
-1.465661,-0.000287
-1.465264,-0.000454
-1.464868,0.000195
-1.464471,0.000706
-1.464075,0.000632
-1.463678,0.000601
-1.463282,0.000914
-1.462885,0.000816
-1.462489,-0.000090
-1.462093,-0.000823
-1.461696,-0.000459
-1.461300,0.000295
-1.460903,0.000230
-1.460507,-0.000382
-1.460110,-0.000377
-1.459714,0.000205
-1.459317,0.000214
-1.458921,-0.000527
-1.458524,-0.000864
-1.458128,-0.000282
-1.457731,0.000295
-1.457335,0.000145
-1.456939,-0.000170
-1.456542,-0.000025
-1.456146,0.000208
-1.455749,0.000092
-1.455353,0.000059
-1.454956,0.000514
-1.454560,0.000938
-1.454163,0.000783
-1.453767,0.000463
-1.453370,0.000496
-1.452974,0.000444
-1.452577,-0.000218
-1.452181,-0.000859
-1.451785,-0.000512
-1.451388,0.000516
-1.450992,0.001049
-1.450595,0.000767
-1.450199,0.000396
-1.449802,0.000355
-1.449406,0.000376
-1.449009,0.000396
-1.448613,0.000681
-1.448216,0.000995
-1.447820,0.000722
-1.447424,-0.000009
-1.447027,-0.000307
-1.446631,0.000121
-1.446234,0.000540
-1.445838,0.000372
-1.445441,-0.000032
-1.445045,-0.000171
-1.444648,-0.000137
-1.444252,-0.000177
-1.443855,-0.000192
-1.443459,-0.000066
-1.443062,0.000057
-1.442666,0.000123
-1.442270,0.000241
-1.441873,0.000280
-1.441477,0.000024
-1.441080,-0.000186
-1.440684,0.000232
-1.440287,0.000960
-1.439891,0.000943
-1.439494,0.000006
-1.439098,-0.000722
-1.438701,-0.000513
-1.438305,-0.000066
-1.437909,-0.000144
-1.437512,-0.000274
-1.437116,0.000202
-1.436719,0.000752
